标题： 还是Bernadette好看啊 	 链接：http://tieba.baidu.com//p/5540798561 	 发帖人：艾玛沃... 	 发帖时间：2-4 	 回复数量： 3 
标题： 求助啊。逼死强迫症了！！霍华德和伯妮黛特是怎么认识的？？？ 	 链接：http://tieba.baidu.com//p/5155487856 	 发帖人：凤姐来吓人 	 发帖时间：2017-06 	 回复数量： 5 
标题： 有个第三季第三集的客串简直太酷了，求哪位大神科普 	 链接：http://tieba.baidu.com//p/5104880496 	 发帖人：lkkkkkkk6 	 发帖时间：2017-05 	 回复数量： 3 
标题： 关于TBBT S6E19有关于Howard父亲的信的内容的分析 	 链接：http://tieba.baidu.com//p/3962197339 	 发帖人：壮哉我吸... 	 发帖时间：2015-08 	 回复数量： 14 
标题： 关于Harvard父亲的信哪一版本才是真的 	 链接：http://tieba.baidu.com//p/2221514052 	 发帖人：宴锦安 	 发帖时间：2014-03 	 回复数量： 86 
标题： 才知道，生活大爆炸的笑声是现场观众，真的好羡慕他们 	 链接：http://tieba.baidu.com//p/5561966344 	 发帖人：在花果山... 	 发帖时间：2-23 	 回复数量： 1 
标题： 注意看右边克莱尔妹纸 	 链接：http://tieba.baidu.com//p/5555130371 	 发帖人：耳朵Moonpie 	 发帖时间：2-17 	 回复数量： 25 
标题： 通知 关于s11e16的更新时间 	 链接：http://tieba.baidu.com//p/5546596679 	 发帖人：rrvip01 	 发帖时间：2-9 	 回复数量： 7 
标题： 【求助】哪一集外星人说谢尔顿粉粉的很好吃？ 	 链接：http://tieba.baidu.com//p/5561321251 	 发帖人：烨礼服 	 发帖时间：2-22 	 回复数量： 5 
标题： 求该图出处 	 链接：http://tieba.baidu.com//p/5561924976 	 发帖人：1967 	 发帖时间：2-23 	 回复数量： 0 
标题： 盘点Big Bang里面那些无节操的台词吧〜 	 链接：http://tieba.baidu.com//p/2490280591 	 发帖人：薄荷warrior___ 	 发帖时间：2014-03 	 回复数量： 2977 
标题： 【求成精】在Google地图上寻找“大爆炸”总部 	 链接：http://tieba.baidu.com//p/4430309941 	 发帖人：嘿_屁仔PuChi 	 发帖时间：2016-03 	 回复数量： 137 
标题： 很好奇少年谢耳朵的这位越南好基友后来干什么去了 	 链接：http://tieba.baidu.com//p/5488499844 	 发帖人：简称顿... 	 发帖时间：2017-12 	 回复数量： 24 
标题： 霍华德搞笑中文 	 链接：http://tieba.baidu.com//p/5518810982 	 发帖人：2726104 	 发帖时间：1-17 	 回复数量： 21 
标题： 喜欢的盆友进，这碗狗粮我干了* 	 链接：http://tieba.baidu.com//p/5360361842 	 发帖人：9mmjmo 	 发帖时间：2017-10 	 回复数量： 8 
标题： 歪果仁是怎么理解中国户口的呢 	 链接：http://tieba.baidu.com//p/5436980614?fid=1441624 	 发帖人：鹰啸云巅1 	 发帖时间：2017-11 	 回复数量： 2 
标题： 这一段太好笑了，耳朵真的很现实 	 链接：http://tieba.baidu.com//p/5547450604 	 发帖人：hey借个微笑 	 发帖时间：2-10 	 回复数量： 9 
标题： 你觉得大爆炸最帅的是谁❤️ 	 链接：http://tieba.baidu.com//p/5551036121 	 发帖人：我的小美... 	 发帖时间：2-13 	 回复数量： 6 
标题： 求问，penny把Leonard当马骑是哪一集？ 	 链接：http://tieba.baidu.com//p/5235224902 	 发帖人：空接转体... 	 发帖时间：2017-07 	 回复数量： 1 
标题： 有没有少年谢耳朵的资源啊？ 	 链接：http://tieba.baidu.com//p/5478485986 	 发帖人：灰色轨迹... 	 发帖时间：2017-12 	 回复数量： 16 
标题： ！！！！！来人鉴定一下，谢耳朵看的是不是  阿衰！！！0704 	 链接：http://tieba.baidu.com//p/5551253810 	 发帖人：花生怎么样 	 发帖时间：2-13 	 回复数量： 10 
标题： Sim4 自制生活大爆炸场景 	 链接：http://tieba.baidu.com//p/5168004213 	 发帖人：Mira_xxx 	 发帖时间：2017-06 	 回复数量： 153 
标题： 想做一套TBBT的表情 	 链接：http://tieba.baidu.com//p/5343151318 	 发帖人：红眼章鱼 	 发帖时间：2017-09 	 回复数量： 43 
标题： 谢耳朵都有独立的剧目了，不可思议 	 链接：http://tieba.baidu.com//p/5532142182 	 发帖人：小魏闯江湖 	 发帖时间：1-28 	 回复数量： 5 
标题： 【TBBT】生活大爆炸吧2018吧务招募贴 	 链接：http://tieba.baidu.com//p/5545392306 	 发帖人：玺子 	 发帖时间：2-8 	 回复数量： 16 
标题： 生活大爆炸第六季第二集电影院里很轻快的背景音乐 	 链接：http://tieba.baidu.com//p/5560521682 	 发帖人：高三段长... 	 发帖时间：2-22 	 回复数量： 0 
标题： 谢耳朵也能有对象 	 链接：http://tieba.baidu.com//p/5560425122 	 发帖人：victor1988605 	 发帖时间：2-22 	 回复数量： 6 
标题： 莫非只有我一个人觉得十一季没有以前好看了吗 	 链接：http://tieba.baidu.com//p/5367356100 	 发帖人：宇宙无敌... 	 发帖时间：2017-10 	 回复数量： 14 
标题： 生活大爆炸第一季17集Shel 	 链接：http://tieba.baidu.com//p/5161018092 	 发帖人：久稚 	 发帖时间：2017-06 	 回复数量： 16 
标题： 撕裂人看的触目惊心   呕呕呕 	 链接：http://tieba.baidu.com//p/5455383478?fid=1441624 	 发帖人：狮子座小... 	 发帖时间：2017-11 	 回复数量： 5 
标题： S11E14卡洛琳来了！！！！ 	 链接：http://tieba.baidu.com//p/5530372792 	 发帖人：门捷列夫 	 发帖时间：1-27 	 回复数量： 9 
标题： 比尔盖茨即将亮相 	 链接：http://tieba.baidu.com//p/5559200652 	 发帖人：cameolg 	 发帖时间：2-21 	 回复数量： 2 
标题： S11E14这个女的看着很眼熟，还演过哪部美剧？ 	 链接：http://tieba.baidu.com//p/5522636649 	 发帖人：死吖 	 发帖时间：1-20 	 回复数量： 12 
标题： 有没有发现霍华德从来没进过penny的那个家 	 链接：http://tieba.baidu.com//p/5106023124 	 发帖人：杜兰特724 	 发帖时间：2017-05 	 回复数量： 25 
标题： 第十一季第六集的铃铛软件叫什么 	 链接：http://tieba.baidu.com//p/5428492622 	 发帖人：Daybreak胶带 	 发帖时间：2017-11 	 回复数量： 16 
标题： 很讨厌艾米 	 链接：http://tieba.baidu.com//p/3803458792 	 发帖人：放开0那... 	 发帖时间：2015-06 	 回复数量： 281 
标题： 前方高能，谢耳朵跳弗朗明哥，太萌了 	 链接：http://tieba.baidu.com//p/5341126382 	 发帖人：songchuankai74 	 发帖时间：2017-09 	 回复数量： 37 
标题： 为什么他们爱和迪士尼公主XXOO呢？ 	 链接：http://tieba.baidu.com//p/2201418496 	 发帖人：麒麟中中 	 发帖时间：2013-03 	 回复数量： 2 
标题： 进来留下你们的英文名吧，最好连意思覆盖，还有中文名。。 	 链接：http://tieba.baidu.com//p/2260845289 	 发帖人：情缘灬圣君 	 发帖时间：2013-04 	 回复数量： 9 
标题： 嗯，重看一遍TBBT，发现，当 	 链接：http://tieba.baidu.com//p/5259946401 	 发帖人：爱琴海的... 	 发帖时间：2017-08 	 回复数量： 15 
标题： 有物理大神么 为什么说理查德费曼是物理界叛徒 	 链接：http://tieba.baidu.com//p/3558282504 	 发帖人：whatwell6 	 发帖时间：2015-01 	 回复数量： 18 
标题： 天才理论传吧的吧友们 领取福利 新年试试手 	 链接：http://tieba.baidu.com//p/5558445585 	 发帖人：星橙001 	 发帖时间：2-20 	 回复数量： 0 
标题： 你不瘦下来怎么会知道自己有多帅，胖友们想安全有效瘦下来请找我 	 链接：http://tieba.baidu.com//p/5483833466?fid=1441624 	 发帖人：yaolibin 	 发帖时间：2017-12 	 回复数量： 42 
标题： 谭八爷 	 链接：http://tieba.baidu.com//p/5558030711 	 发帖人：狼妹美 	 发帖时间：2-20 	 回复数量： 0 
标题： 有人在谷歌地图上找到他们住的公寓楼了吗！！！！！！！！！！！ 	 链接：http://tieba.baidu.com//p/5557456295 	 发帖人：阿斯兰的... 	 发帖时间：2-19 	 回复数量： 1 
标题： 第八集这个美女太惊艳了，谁知道她的资料？！ 	 链接：http://tieba.baidu.com//p/4158027622 	 发帖人：糊涂醉 	 发帖时间：2015-11 	 回复数量： 138 
标题： 这个是谁啊？ 	 链接：http://tieba.baidu.com//p/5557595328 	 发帖人：斯堪的纳... 	 发帖时间：2-19 	 回复数量： 2 
标题： 求此系列其他人物图片 	 链接：http://tieba.baidu.com//p/5557500311 	 发帖人：Sheldon果果 	 发帖时间：2-19 	 回复数量： 0 
标题： 生活大爆炸》衍生剧《小谢耳朵》获预订 	 链接：http://tieba.baidu.com//p/5021830841 	 发帖人：苏北的河 	 发帖时间：2017-03 	 回复数量： 7 
标题： 第九季第六级客串贩卖液氦的演员竟然是菲比的警察男友 	 链接：http://tieba.baidu.com//p/4140586014 	 发帖人：都败熊我 	 发帖时间：2015-11 	 回复数量： 55 
标题： 生活大爆炸表情包！ 	 链接：http://tieba.baidu.com//p/4765382919 	 发帖人：付嘉12138 	 发帖时间：2016-09 	 回复数量： 14 
标题： 啦啦啦 	 链接：http://tieba.baidu.com//p/5557440797 	 发帖人：木城嗯 	 发帖时间：2-19 	 回复数量： 0 
标题： 没人觉得克莱尔妹纸的胸很大吗 	 链接：http://tieba.baidu.com//p/4966054351 	 发帖人：耳朵Moonpie 	 发帖时间：2017-02 	 回复数量： 39 
标题： 小谢尔顿的眼睛好漂亮啊 	 链接：http://tieba.baidu.com//p/5526269174 	 发帖人：耳朵Moonpie 	 发帖时间：1-23 	 回复数量： 9 
标题： 还有谁记得她 	 链接：http://tieba.baidu.com//p/5522928966 	 发帖人：是你的辣... 	 发帖时间：1-20 	 回复数量： 15 
标题： s11e09里面霍华德他妈妈的配音是怎么来的 	 链接：http://tieba.baidu.com//p/5553074590 	 发帖人：两仪 	 发帖时间：2-15 	 回复数量： 5 
标题： 潘妮露点了 	 链接：http://tieba.baidu.com//p/3738744011 	 发帖人：风之遗族 	 发帖时间：2015-05 	 回复数量： 34 
标题： S9  10生肉出了 	 链接：http://tieba.baidu.com//p/4207837281 	 发帖人：茧约瓶子 	 发帖时间：2015-12 	 回复数量： 27 
标题： http://www.bilibili.com/video/ 	 链接：http://tieba.baidu.com//p/5556954801 	 发帖人：LightningZnice 	 发帖时间：2-19 	 回复数量： 0 
标题： 谢尔顿的妈出演了鸟女人中的妈？ 	 链接：http://tieba.baidu.com//p/5556833413 	 发帖人：乂成天笑 	 发帖时间：2-19 	 回复数量： 1 
标题： 《生活大爆炸》你可能不知道的21件事 	 链接：http://tieba.baidu.com//p/4432137688 	 发帖人：嘿_屁仔PuChi 	 发帖时间：2016-03 	 回复数量： 371 
标题： 穿女装的这是哪一集 	 链接：http://tieba.baidu.com//p/5156243321 	 发帖人：再醉不逍遥 	 发帖时间：2017-06 	 回复数量： 2 
标题： 谢尔顿和艾米去领证结婚，大喜的日子谢尔顿却担心有梅毒？ 	 链接：http://tieba.baidu.com//p/5470836375 	 发帖人：沐K拉哇 	 发帖时间：2017-12 	 回复数量： 33 
标题： 难道拉杰注定孤独终老了么？本来觉得他跟这个印度妹子挺合适的 	 链接：http://tieba.baidu.com//p/5552000410 	 发帖人：诗仙李太... 	 发帖时间：2-14 	 回复数量： 1 
标题： 【资源帖】生活大爆炸1-11季 高青完整版～中英字～2楼取 	 链接：http://tieba.baidu.com//p/5567712617 	 发帖人：掰nice 	 发帖时间：2-26 	 回复数量： 0 
标题： 【资源帖】生活大爆炸1-11季 高青完整版～中英字～2楼取 	 链接：http://tieba.baidu.com//p/5567724992 	 发帖人：KAP夜生活 	 发帖时间：2-26 	 回复数量： 0 
标题： 分享：莬费份享，发【生活大爆炸】到“攻纵浩”【海绵影院】 	 链接：http://tieba.baidu.com//p/5570521188 	 发帖人：xtfgzn31381 	 发帖时间：18:02 	 回复数量： 0 
